id,session_id,distraction_type,timestamp,hour_of_day,day_of_week,focus_duration_minutes
1000,1,TAB_SWITCH,2026-05-31 02:21:16.034744,2,6,14.5
1001,1,TAB_SWITCH,2026-05-28 21:15:16.034744,21,3,11.3
1002,1,TAB_SWITCH,2026-05-30 12:57:16.034744,12,5,15.2
1003,1,TAB_SWITCH,2026-05-30 08:36:16.034744,8,5,19.6
1004,1,TAB_SWITCH,2026-05-31 04:02:16.034744,4,6,10.8
1005,1,FATIGUE_EYE_CLOSURE,2026-05-30 06:24:16.034744,6,5,20.1
1006,1,FATIGUE_EYE_CLOSURE,2026-05-28 21:00:16.034744,21,3,19.6
1007,1,TAB_SWITCH,2026-05-27 20:29:16.034744,20,2,15.8
1008,1,TAB_SWITCH,2026-05-27 21:35:16.034744,21,2,9.7
1009,1,FATIGUE_EYE_CLOSURE,2026-05-28 05:13:16.034744,5,3,18.7
1010,1,FATIGUE_EYE_CLOSURE,2026-05-28 17:03:16.034744,17,3,23.1
1011,1,FATIGUE_EYE_CLOSURE,2026-05-29 00:33:16.034744,0,4,21.8
1012,1,TAB_SWITCH,2026-05-31 05:20:16.034744,5,6,13.2
1013,1,TAB_SWITCH,2026-05-28 13:55:16.034744,13,3,2.4
1014,1,TAB_SWITCH,2026-05-28 21:26:16.034744,21,3,3.4
1015,1,TAB_SWITCH,2026-05-30 07:48:16.034744,7,5,9.2
1016,1,FATIGUE_EYE_CLOSURE,2026-05-31 04:08:16.034744,4,6,24.0
1017,1,FATIGUE_EYE_CLOSURE,2026-05-28 08:59:16.034744,8,3,18.1
1018,1,TAB_SWITCH,2026-05-28 15:35:16.034744,15,3,7.5
1019,1,TAB_SWITCH,2026-05-31 07:46:16.034744,7,6,4.9
1020,1,FATIGUE_EYE_CLOSURE,2026-05-29 00:42:16.034744,0,4,15.3
1021,1,TAB_SWITCH,2026-05-30 13:20:16.034744,13,5,10.9
1022,1,TAB_SWITCH,2026-05-27 20:36:16.034744,20,2,12.3
1023,1,TAB_SWITCH,2026-05-29 23:55:16.034744,23,4,4.9
1024,1,TAB_SWITCH,2026-05-29 01:07:16.034744,1,4,9.3
1025,1,FATIGUE_EYE_CLOSURE,2026-05-28 19:58:16.034744,19,3,14.8
1026,1,FATIGUE_EYE_CLOSURE,2026-05-30 13:58:16.034744,13,5,15.5
1027,1,TAB_SWITCH,2026-05-29 19:19:16.034744,19,4,13.9
1028,1,TAB_SWITCH,2026-05-29 21:36:16.034744,21,4,9.0
1029,1,FATIGUE_EYE_CLOSURE,2026-05-30 11:45:16.034744,11,5,18.4
1030,1,TAB_SWITCH,2026-05-31 10:00:16.034744,10,6,9.0
1031,1,TAB_SWITCH,2026-05-28 14:47:16.034744,14,3,21.3
1032,1,TAB_SWITCH,2026-05-28 10:49:16.034744,10,3,11.9
1033,1,FATIGUE_EYE_CLOSURE,2026-05-30 09:22:16.034744,9,5,17.2
1034,1,TAB_SWITCH,2026-05-27 21:48:16.034744,21,2,16.1
1035,1,TAB_SWITCH,2026-05-29 13:12:16.034744,13,4,5.9
1036,1,FATIGUE_EYE_CLOSURE,2026-05-28 06:18:16.034744,6,3,18.6
1037,1,TAB_SWITCH,2026-05-30 05:11:16.034744,5,5,2.2
1038,1,FATIGUE_EYE_CLOSURE,2026-05-27 18:14:16.034744,18,2,26.0
1039,1,TAB_SWITCH,2026-05-29 22:18:16.034744,22,4,13.0
1040,1,TAB_SWITCH,2026-05-31 03:20:16.034744,3,6,15.7
1041,1,TAB_SWITCH,2026-05-29 21:39:16.034744,21,4,12.9
1042,1,TAB_SWITCH,2026-05-29 05:10:16.034744,5,4,11.4
1043,1,TAB_SWITCH,2026-05-31 10:14:16.034744,10,6,10.5
1044,1,TAB_SWITCH,2026-05-31 14:52:16.034744,14,6,4.6
1045,1,TAB_SWITCH,2026-05-27 21:48:16.034744,21,2,8.4
1046,1,TAB_SWITCH,2026-05-27 23:31:16.034744,23,2,9.7
1047,1,TAB_SWITCH,2026-05-31 04:23:16.034744,4,6,17.3
1048,1,TAB_SWITCH,2026-05-31 06:25:16.034744,6,6,13.7
1049,1,FATIGUE_EYE_CLOSURE,2026-05-30 19:22:16.034744,19,5,19.6
1050,1,FATIGUE_EYE_CLOSURE,2026-05-30 08:02:16.034744,8,5,22.3
1051,1,FATIGUE_EYE_CLOSURE,2026-05-29 10:46:16.034744,10,4,21.4
1052,1,TAB_SWITCH,2026-05-27 19:19:16.034744,19,2,8.6
1053,1,TAB_SWITCH,2026-05-27 20:36:16.034744,20,2,15.1
1054,1,TAB_SWITCH,2026-05-28 07:58:16.034744,7,3,17.2
1055,1,FATIGUE_EYE_CLOSURE,2026-05-30 04:51:16.034744,4,5,20.4
1056,1,TAB_SWITCH,2026-05-30 16:39:16.034744,16,5,7.8
1057,1,TAB_SWITCH,2026-05-30 21:18:16.034744,21,5,10.5
1058,1,TAB_SWITCH,2026-05-28 02:49:16.034744,2,3,13.7
1059,1,TAB_SWITCH,2026-05-27 18:48:16.034744,18,2,16.9
1060,1,TAB_SWITCH,2026-05-30 03:23:16.034744,3,5,9.6
1061,1,TAB_SWITCH,2026-05-29 18:55:16.034744,18,4,11.1
1062,1,TAB_SWITCH,2026-05-30 23:55:16.034744,23,5,6.5
1063,1,TAB_SWITCH,2026-05-31 13:21:16.034744,13,6,6.0
1064,1,TAB_SWITCH,2026-05-30 02:29:16.034744,2,5,16.1
1065,1,TAB_SWITCH,2026-05-31 04:23:16.034744,4,6,18.8
1066,1,TAB_SWITCH,2026-05-29 23:56:16.034744,23,4,11.6
1067,1,TAB_SWITCH,2026-05-30 16:23:16.034744,16,5,17.0
1068,1,FATIGUE_EYE_CLOSURE,2026-05-30 08:13:16.034744,8,5,14.5
1069,1,TAB_SWITCH,2026-05-28 19:02:16.034744,19,3,8.8
1070,1,TAB_SWITCH,2026-05-31 10:54:16.034744,10,6,13.8
1071,1,TAB_SWITCH,2026-05-31 17:09:16.034744,17,6,19.7
1072,1,TAB_SWITCH,2026-05-29 15:44:16.034744,15,4,11.8
1073,1,TAB_SWITCH,2026-05-29 21:28:16.034744,21,4,19.8
1074,1,TAB_SWITCH,2026-05-30 08:47:16.034744,8,5,1.0
1075,1,TAB_SWITCH,2026-05-30 03:07:16.034744,3,5,16.1
